Name,description,timestamp,begin,end,altitudeMode,tessellate,extrude,visibility,drawOrder,icon,osm_id,highway,waterway,covered,depth_isempty,depth,blockage,aerialway,barrier,man_made,width_isempty,width,height,maxheight,layer_isempty,layer,sidewalk,tunnel,bridge,other_tags
Nyerere Road,,,,,,-1,-1,-1,,,25108278,primary,,,1,-1,,,,,1,-1,,,1,-1,,,,"""oneway""=>""yes"""
Kitumbini Street,,,,,,-1,-1,-1,,,25108395,residential,,,1,-1,,,,,1,-1,,,1,-1,,,,
,,,,,,-1,-1,-1,,,25108398,residential,,,1,-1,,,,,1,-1,,,1,-1,,,,
,,,,,,-1,-1,-1,,,25108399,residential,,,1,-1,,,,,1,-1,,,1,-1,,,,
India Street,,,,,,-1,-1,-1,,,25108400,unclassified,,,1,-1,,,,,1,-1,,,1,-1,,,,
Tandamti Street,,,,,,-1,-1,-1,,,25108597,residential,,,1,-1,,,,,0,7,,,1,-1,,,,"""smoothness""=>""good"",""surface""=>""asphalt"""
Mukunguni St.,,,,,,-1,-1,-1,,,25108605,residential,,,1,-1,,,,,1,-1,,,1,-1,,,,
,,,,,,-1,-1,-1,,,25108613,residential,,,1,-1,,,,,1,-1,,,1,-1,,,,
Sikukuu Street,,,,,,-1,-1,-1,,,25108622,unclassified,,,1,-1,,,,,1,-1,,,1,-1,,,,
Amani St.,,,,,,-1,-1,-1,,,25108623,unclassified,,,1,-1,,,,,1,-1,,,1,-1,,,,
Mchikichini/Msimbazi Road,,,,,,-1,-1,-1,,,25108625,unclassified,,,1,-1,,,,,0,6,,,1,-1,,,,"""smoothness""=>""intermediate"",""surface""=>""asphalt"""
Livingstone Street,,,,,,-1,-1,-1,,,25108633,unclassified,,,1,-1,,,,,1,-1,,,1,-1,,,,
Ali Hassan Mwinyi Road,,,,,,-1,-1,-1,,,25109089,primary,,,1,-1,,,,,1,-1,,,1,-1,,,,"""oneway""=>""yes"""
Selander Bridge,,,,,,-1,-1,-1,,,25109090,primary,,,1,-1,,,,,1,-1,,,0,1,,,yes,"""oneway""=>""yes"""
Undali Street,,,,,,-1,-1,-1,,,25109137,residential,,,1,-1,,,,,1,-1,,,1,-1,,,,
Maweni Street,,,,,,-1,-1,-1,,,25109140,residential,,,1,-1,,,,,1,-1,,,1,-1,,,,
Mazengo St.,,,,,,-1,-1,-1,,,25109153,residential,,,1,-1,,,,,1,-1,,,1,-1,,,,
,,,,,,-1,-1,-1,,,25109161,unclassified,,,1,-1,,,,,1,-1,,,1,-1,,,,
Lugalo St.,,,,,,-1,-1,-1,,,25109197,residential,,,1,-1,,,,,1,-1,,,1,-1,,,,
Chagga Street,,,,,,-1,-1,-1,,,25143221,residential,,,1,-1,,,,,1,-1,,,1,-1,,,,
,,,,,,-1,-1,-1,,,25143224,service,,,1,-1,,,,,1,-1,,,1,-1,,,,
Clock Tower,,,,,,-1,-1,-1,,,25143226,secondary,,,1,-1,,,,,1,-1,,,1,-1,,,,"""junction""=>""roundabout"""
,,,,,,-1,-1,-1,,,25143228,service,,,1,-1,,,,,1,-1,,,1,-1,,,,
Jamhuri Street,,,,,,-1,-1,-1,,,25143229,unclassified,,,1,-1,,,,,1,-1,,,1,-1,,,,
Nkurumah Street,,,,,,-1,-1,-1,,,25143234,secondary,,,1,-1,,,,,1,-1,,,1,-1,,,,"""smoothness""=>""good"",""surface""=>""paved"""
Kisutu Street,,,,,,-1,-1,-1,,,25143239,unclassified,,,1,-1,,,,,1,-1,,,1,-1,,,,
,,,,,,-1,-1,-1,,,25235769,residential,,,1,-1,,,,,1,-1,,,1,-1,,,,
Pamba Rd.,,,,,,-1,-1,-1,,,25235771,unclassified,,,1,-1,,,,,1,-1,,,1,-1,,,,
,,,,,,-1,-1,-1,,,25235772,unclassified,,,1,-1,,,,,1,-1,,,1,-1,,,,"""smoothness""=>""good"",""surface""=>""asphalt"""
Kitonga St.,,,,,,-1,-1,-1,,,25235843,unclassified,,,1,-1,,,,,1,-1,,,1,-1,,,,
Seaview Road,,,,,,-1,-1,-1,,,25235848,residential,,,1,-1,,,,,0,7,,,1,-1,,,,"""smoothness""=>""intermediate"",""surface""=>""asphalt"""
Mirambo Street,,,,,,-1,-1,-1,,,25292990,residential,,,1,-1,,,,,0,4,,,1,-1,,,,"""smoothness""=>""good"",""surface""=>""asphalt"""
Mrima Street,,,,,,-1,-1,-1,,,25303771,unclassified,,,1,-1,,,,,1,-1,,,1,-1,,,,
Mfaume St.,,,,,,-1,-1,-1,,,25303842,unclassified,,,1,-1,,,,,1,-1,,,1,-1,,,,
Ruhinda St,,,,,,-1,-1,-1,,,25304014,residential,,,1,-1,,,,,1,-1,,,1,-1,,,,"""oneway""=>""no"""
,,,,,,-1,-1,-1,,,25304021,residential,,,1,-1,,,,,1,-1,,,1,-1,,,,
Mathuradas Rd.,,,,,,-1,-1,-1,,,25304075,unclassified,,,1,-1,,,,,1,-1,,,1,-1,,,,
Mindu St.,,,,,,-1,-1,-1,,,25304097,unclassified,,,1,-1,,,,,1,-1,,,1,-1,,,,
Kisarawe Street,,,,,,-1,-1,-1,,,25421066,unclassified,,,1,-1,,,,,0,5,,,1,-1,,,,"""smoothness""=>""intermediate"",""surface""=>""asphalt"""
Kigamboni Ferry,,,,,,-1,-1,-1,,,25465855,,,,1,-1,,,,,1,-1,,,1,-1,,,,"""bicycle""=>""yes"",""duration""=>""00:30"",""foot""=>""yes"",""motorcycle""=>""yes"",""motor_vehicle""=>""yes"",""route""=>""ferry"",""toll""=>""yes"",""vehicle""=>""yes"""
Kawawa Road,,,,,,-1,-1,-1,,,25484391,primary,,,1,-1,,,,,1,-1,,,1,-1,,,,"""oneway""=>""yes"",""surface""=>""paved"""
Uhuru Street,,,,,,-1,-1,-1,,,25742150,tertiary,,,1,-1,,,,,1,-1,,,1,-1,,,,
